москва,нато,negative
москва,россия,negative
кремль,югославия,negative
кремль,крымский полуостров,negative
кремль,россия,negative
кремль,запад,negative
крымский полуостров,донбасс,positive
донбасс,запад,negative
россия,запад,negative
крым,донбасс,negative
крым,евросоюз,negative
германия,москва,positive
нидерланды,москва,positive
украина,москва,positive
европа,сша,positive
европа,дональд трамп,positive
александр дугин,сша,positive
александр дугин,московский государственный университет,negative
александр дугин,новый евразийство,negative
александр дугин,дональд трамп,positive
московский государственный университет,сша,positive
московский государственный университет,новый евразийство,negative
московский государственный университет,дональд трамп,positive
новый евразийство,сша,positive
новый евразийство,дональд трамп,positive
путин,сша,positive
путин,дональд трамп,positive
украина,россия,negative
украина,запад,negative
сша,украина,positive
сша,петр порошенко,positive
сша,джо байден,positive
сша,порошенко,positive
сша,байден,positive
украина,джо байден,negative
украина,байден,negative
виктор шокин,порошенко,positive
сша,пайетт,positive
шокина,касько,negative
порошенко,юрий луценко,positive
молдавия,россия,negative
ассоциация,россия,negative
европейский союз,россия,negative
ес,плахотнюк,positive
плахотнюк,влад филат,negative
сша,плахотнюк,positive
черногория,россия,positive
черногория,запад,positive
черногория,милошевич,positive
черногория,джуканович,positive
мило джуканович,россия,positive
мило джуканович,запад,positive
мило джуканович,милошевич,positive
мило джуканович,джуканович,positive
милошевич,запад,positive
джуканович,запад,positive
сербия,ес,negative
сербия,милошевич,positive
сербия,александр вучич,positive
ес,сербия,positive
милошевич,сербия,negative
милошевич,ес,negative
милошевич,александр вучич,positive
александр вучич,сербия,negative
александр вучич,ес,negative
груевский,македония,positive
вашингтон,македония,positive
джо байден,македония,positive
польша,закон и справедливость,negative
россия,смоленский,negative
польша,россия,negative
польша,смоленский,negative
антоний мачеревич,россия,negative
антоний мачеревич,смоленский,negative
сша,нато,positive
польша,нато,positive
запад,кремль,positive
запад,донбасс,positive
россия,донбасс,positive
запад,россия,negative
московский государственный университет,александр дугин,negative
новый евразийство,александр дугин,negative
новый евразийство,московский государственный университет,negative
джо байден,украина,negative
байден,украина,negative
касько,шокина,negative
милошевич,мило джуканович,positive
александр вучич,милошевич,positive
россия,польша,negative
смоленский,россия,negative
смоленский,польша,negative
