сми,швеция,positive
финляндия,швеция,positive
швеция,россия,negative
пекка вильякайнен (pekka viljakainen,россия,positive
сколково,россия,positive
путин,россия,positive
вильякайнен,россия,positive
сми,финляндия,positive
ярмо мякель (jarmo makela,сми,positive
ярмо мякель (jarmo makela,финляндия,positive
ярмо мякель (jarmo makela,запад,positive
ярмо мякель (jarmo makela,helsingin sanomat,positive
мякель,сми,positive
мякель,финляндия,positive
мякель,запад,positive
мякель,helsingin sanomat,positive
финляндия,мякель,positive
карий лиухто (kari liuhto,turun sanomat,positive
лиухто,turun sanomat,positive
путин,крымский полуостров,negative
сми,yle,positive
сми,путин,positive
сми,карин энстрем (karin enstrom,positive
сми,саули ниинист (yle,positive
сми,ниинист,positive
швеция,финляндия,positive
путин,швеция,positive
путин,карин энстрем (karin enstrom,positive
финляндия,карин энстрем (karin enstrom,positive
карин энстрем (karin enstrom,финляндия,positive
петтери орпо (petteri orpo,россия,positive
петтери орпо (petteri orpo,финляндия,positive
россия,швеция,negative
сми,ярмо мякель (jarmo makela,positive
сми,мякель,positive
финляндия,ярмо мякель (jarmo makela,positive
запад,ярмо мякель (jarmo makela,positive
запад,мякель,positive
helsingin sanomat,ярмо мякель (jarmo makela,positive
helsingin sanomat,мякель,positive
turun sanomat,карий лиухто (kari liuhto,positive
turun sanomat,лиухто,positive
крымский полуостров,путин,negative
швеция,путин,positive
карин энстрем (karin enstrom,путин,positive
