нато,россия,positive
американец,нато,negative
американец,россия,negative
американец,восточный европа,negative
россия,нато,negative
россия,восточный европа,negative
петер кристенсен (peter christensen,нато,positive
петер кристенсен (peter christensen,россия,positive
петер кристенсен (peter christensen,украина,positive
путин,украина,negative
путин,крым,negative
нато,лукаш кулес (lukasz kulesa,negative
нато,european leadership network,negative
нато,лукаш кулес,negative
россия,лукаш кулес (lukasz kulesa,negative
россия,european leadership network,negative
россия,лукаш кулес,negative
нато-россия,лукаш кулес (lukasz kulesa,negative
нато-россия,european leadership network,negative
нато-россия,лукаш кулес,negative
совет,лукаш кулес (lukasz kulesa,negative
совет,european leadership network,negative
совет,лукаш кулес,negative
путин,россия,positive
нато,польша,positive
нато,мартен мишлый (martin michelot,positive
нато,german marshall fund,positive
лукаш кулес,нато,negative
