путин,борис немцов,negative
путин,сша,negative
путин,ес,negative
сми,ночной волк,positive
сми,москва,positive
сми,берлин,positive
александра залдостанов,путин,positive
александра залдостанов,антимайдан,positive
ночной волк,запад,negative
ночной волк,россия,negative
ночной волк,die,negative
запад,россия,negative
россия,die,positive
евросоюз,ес,negative
евросоюз,греция,negative
евросоюз,кремль,negative
россия,сми,positive
россия,любек,positive
москва,иран,negative
москва,восточный украина,negative
москва,украина,negative
россия,иран,negative
россия,восточный украина,negative
россия,украина,negative
запад,иран,negative
запад,восточный украина,negative
запад,украина,negative
иран,восточный украина,negative
иран,украина,negative
штюрмер,украина,negative
ангел меркель,штюрмер,positive
белый дом,украина,negative
белый дом,киев,negative
киев,украина,negative
бузина,владимир путин,positive
бузина,борис немцов,positive
бузина,борис немцов (berliner zeitung,positive
путин,борис,negative
ес,евросоюз,negative
греция,евросоюз,negative
кремль,евросоюз,negative
михаэль,украина,negative
украина,михаэль,negative
украина,штюрмер,negative
украина,белый дом,negative
украина,киев,negative
киев,белый дом,negative
борис немцов,борис немцов (berliner zeitung,negative
борис немцов (berliner zeitung,борис немцов,negative
