россия,шамир,positive
россия,иордания,negative
шамир,иордания,negative
израиль,иордания,negative
биньямин нетаньяху,иордания,negative
владимир путин,иордания,negative
нетаньяху,иордания,negative
россия,ссср,positive
сша,россия,negative
иран-сирия,хезболла,positive
сирия,иран,negative
нетаньяху,израиль,positive
нетаньяху,голан,positive
путин,израиль,positive
путин,голан,positive
голанский высота,израиль,positive
голанский высота,голан,positive
израиль,ближний восток,positive
россия,хусейн,positive
хезболла,иран-сирия,positive
