стивен саймон,сша,negative
джонатан стивенсон,сша,negative
стивен уолт,россия,negative
стивен уолт,исламский государство,positive
исламский государство,россия,negative
евгений сатановский,запад,negative
евгений сатановский,восток,negative
восток,вашингтон,positive
ближний восток,вашингтон,positive
соединенный штат,вашингтон,positive
восток дальний скоро,вашингтон,positive
василиса кулакова,сша,positive
василиса кулакова,федеральный резервный система,positive
вашингтон,пекин,positive
вашингтон,атр,positive
игорь денисов,кпк,negative
россия,исламский государство,positive
евгений,восток,negative
запад,евгений сатановский,negative
пекин,вашингтон,positive
пекин,атр,positive
атр,вашингтон,positive
атр,пекин,positive
роберт,россия,negative
россия,роберт,negative
роберт,китай,negative
китай,роберт,negative
